Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,75,276,74,975,170.73,0.000%,30.52503,9029.05,6.98,302890.7
TOTAL,75,276,74,975,170.73,0.000%,30.52503,9029.05,6.98,302890.7
