Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request1,733,881,184,8273,868.27,0.136%,12.17365,3654.16,2.95,307373.9
HTTP Request2,726,754,158,5928,640.45,0.000%,12.28821,3274.20,3.05,272845.1
TOTAL,1459,818,158,8273,766.07,0.069%,24.23105,6866.86,5.94,290192.3
